[2025-11-19 12:54:48.812] [INFO] [main] Application started
[2025-11-19 12:54:48.813] [DEBUG] [main] Debug information
[2025-11-19 12:54:48.813] [WARN] [main] Warning message
[2025-11-19 12:54:48.813] [ERROR] [main] Error occurred
[2025-11-19 12:54:48.818] [INFO] [main] Processing item 0
[2025-11-19 12:54:48.837] [INFO] [main] Processing item 1
[2025-11-19 12:54:48.853] [INFO] [main] Processing item 2
[2025-11-19 12:54:48.869] [INFO] [main] Processing item 3
[2025-11-19 12:54:48.884] [INFO] [main] Processing item 4
[2025-11-19 12:54:48.900] [INFO] [main] Processing item 5
[2025-11-19 12:54:48.916] [INFO] [main] Processing item 6
[2025-11-19 12:54:48.931] [INFO] [main] Processing item 7
[2025-11-19 12:54:48.946] [INFO] [main] Processing item 8
[2025-11-19 12:54:48.962] [INFO] [main] Processing item 9
[2025-11-19 12:54:48.979] [INFO] [main] Processing item 10
[2025-11-19 12:54:48.994] [INFO] [main] Processing item 11
[2025-11-19 12:54:49.009] [INFO] [main] Processing item 12
[2025-11-19 12:54:49.025] [INFO] [main] Processing item 13
[2025-11-19 12:54:49.040] [INFO] [main] Processing item 14
[2025-11-19 12:54:49.056] [INFO] [main] Processing item 15
[2025-11-19 12:54:49.072] [INFO] [main] Processing item 16
[2025-11-19 12:54:49.087] [INFO] [main] Processing item 17
[2025-11-19 12:54:49.102] [INFO] [main] Processing item 18
[2025-11-19 12:54:49.119] [INFO] [main] Processing item 19
[2025-11-19 12:54:49.134] [INFO] [main] Processing item 20
[2025-11-19 12:54:49.149] [INFO] [main] Processing item 21
[2025-11-19 12:54:49.165] [INFO] [main] Processing item 22
[2025-11-19 12:54:49.180] [INFO] [main] Processing item 23
[2025-11-19 12:54:49.196] [INFO] [main] Processing item 24
[2025-11-19 12:54:49.211] [INFO] [main] Processing item 25
[2025-11-19 12:54:49.227] [INFO] [main] Processing item 26
[2025-11-19 12:54:49.242] [INFO] [main] Processing item 27
[2025-11-19 12:54:49.258] [INFO] [main] Processing item 28
[2025-11-19 12:54:49.273] [INFO] [main] Processing item 29
[2025-11-19 12:54:49.289] [INFO] [main] Processing item 30
[2025-11-19 12:54:49.304] [INFO] [main] Processing item 31
[2025-11-19 12:54:49.320] [INFO] [main] Processing item 32
[2025-11-19 12:54:49.335] [INFO] [main] Processing item 33
[2025-11-19 12:54:49.350] [INFO] [main] Processing item 34
[2025-11-19 12:54:49.366] [INFO] [main] Processing item 35
[2025-11-19 12:54:49.382] [INFO] [main] Processing item 36
[2025-11-19 12:54:49.397] [INFO] [main] Processing item 37
[2025-11-19 12:54:49.412] [INFO] [main] Processing item 38
[2025-11-19 12:54:49.428] [INFO] [main] Processing item 39
[2025-11-19 12:54:49.443] [INFO] [main] Processing item 40
[2025-11-19 12:54:49.458] [INFO] [main] Processing item 41
[2025-11-19 12:54:49.474] [INFO] [main] Processing item 42
[2025-11-19 12:54:49.490] [INFO] [main] Processing item 43
[2025-11-19 12:54:49.506] [INFO] [main] Processing item 44
[2025-11-19 12:54:49.522] [INFO] [main] Processing item 45
[2025-11-19 12:54:49.537] [INFO] [main] Processing item 46
[2025-11-19 12:54:49.553] [INFO] [main] Processing item 47
[2025-11-19 12:54:49.568] [INFO] [main] Processing item 48
[2025-11-19 12:54:49.583] [INFO] [main] Processing item 49
[2025-11-19 12:54:49.598] [INFO] [main] Processing item 50
[2025-11-19 12:54:49.613] [INFO] [main] Processing item 51
[2025-11-19 12:54:49.629] [INFO] [main] Processing item 52
[2025-11-19 12:54:49.645] [INFO] [main] Processing item 53
[2025-11-19 12:54:49.661] [INFO] [main] Processing item 54
[2025-11-19 12:54:49.676] [INFO] [main] Processing item 55
[2025-11-19 12:54:49.691] [INFO] [main] Processing item 56
[2025-11-19 12:54:49.706] [INFO] [main] Processing item 57
[2025-11-19 12:54:49.722] [INFO] [main] Processing item 58
[2025-11-19 12:54:49.738] [INFO] [main] Processing item 59
[2025-11-19 12:54:49.753] [INFO] [main] Processing item 60
[2025-11-19 12:54:49.769] [INFO] [main] Processing item 61
[2025-11-19 12:54:49.785] [INFO] [main] Processing item 62
[2025-11-19 12:54:49.801] [INFO] [main] Processing item 63
[2025-11-19 12:54:49.817] [INFO] [main] Processing item 64
[2025-11-19 12:54:49.832] [INFO] [main] Processing item 65
[2025-11-19 12:54:49.848] [INFO] [main] Processing item 66
[2025-11-19 12:54:49.864] [INFO] [main] Processing item 67
[2025-11-19 12:54:49.879] [INFO] [main] Processing item 68
[2025-11-19 12:54:49.895] [INFO] [main] Processing item 69
[2025-11-19 12:54:49.910] [INFO] [main] Processing item 70
[2025-11-19 12:54:49.925] [INFO] [main] Processing item 71
[2025-11-19 12:54:49.941] [INFO] [main] Processing item 72
[2025-11-19 12:54:49.957] [INFO] [main] Processing item 73
